,FIPS,state2,cdid116,inputstate,birthyr,cces.year,countyfips,dem,educ,educ.int,gender,hispanic,ideo5,newsint,partydefender,perceive_extreme,perceive_extreme_very,party,pid,pid3,pid7,polint,progressive,race,reformer,reformer_local,rep,RCO321,RCO321_a,RCO321_dk,RCO321_dm,RCO321_na,RCO321_np,RCO321_p,RCO321_pref,RCO322,RCO322_a,RCO322_dk,RCO322_dm,RCO322_na,RCO322_np,RCO322_p,RCO322_pref,RCO323,RCO323_a,RCO323_dk,RCO323_dm,RCO323_na,RCO323_np,RCO323_p,RCO323_pref,RCO324,RCO324_a,RCO324_dk,RCO324_dm,RCO324_na,RCO324_np,RCO324_p,RCO324_pref,RCO325,RCO325_a,RCO325_dk,RCO325_dm,RCO325_na,RCO325_np,RCO325_p,RCO325_pref,RCO326,RCO326_a,RCO326_dk,RCO326_dm,RCO326_na,RCO326_np,RCO326_p,RCO326_pref,RCO327,RCO327_a,RCO327_dk,RCO327_dm,RCO327_na,RCO327_np,RCO327_p,RCO327_pref,states_p_sb,states_p_sheriff,states_p_da,states_a_da,X2018_GovFlip,X2018_LegFlip,X2018_SenFlip,X2018_HouseFlip,X2018Pre_RepubGovControl,X2018Pre_DemTriControl,X2018Pre_RepTriControl,biden2020,trump2020,state,state_po,county,avg_d_voteshare2party,avg_r_voteshare2party,Pres_Vote
14,1081,AL,3,Alabama,1951,2018,1081,0,Some college,2,Female,No,Conservative,Most of the time,2,0,0,Rep,Republican,Republican,Not very strong Republican,4,1,White,5,5,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,33.7,65.3,Alabama,AL,Lee,38.01457554,61.98542446,Lean Republican
16,1091,AL,7,Alabama,1950,2018,1091,1,High school graduate,1,Female,No,Not sure,Some of the time,2,0,0,Dem,Democrat,Democrat,Strong Democrat,3,0,Black,0,0,0,I'm not sure,0,1,0,1,0,0,0,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I'm not sure,0,1,0,1,0,0,0,I don't think it matters,0,0,1,1,0,0,0,I don't think it matters,0,0,1,1,0,0,0,1,1,1,0,0,NA,NA,NA,1,NA,NA,70.8,28.5,Alabama,AL,Marengo,51.76069322,48.23930678,Lean Democrat
17,1095,AL,4,Alabama,1988,2018,1095,1,High school graduate,1,Male,No,Moderate,Some of the time,0,0,0,Dem,Democrat,Democrat,Strong Democrat,3,0,White,3,2,0,I don't think it matters,0,0,1,1,0,0,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,17.8,81.2,Alabama,AL,Marshall,14.39824305,85.60175695,Solid Republican
18,1095,AL,4,Alabama,1962,2020,1095,0,High school graduate,1,Male,No,Very conservative,Some of the time,7,1,1,Rep,Republican,Republican,Strong Republican,3,0,White,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,17.8,81.2,Alabama,AL,Marshall,14.39824305,85.60175695,Solid Republican
20,1109,AL,2,Alabama,1958,2018,1109,0,4-year,4,Female,No,Conservative,Most of the time,5,1,1,Rep,Republican,Republican,Strong Republican,4,0,White,2,2,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,35.1,63.9,Alabama,AL,Pike,39.65801239,60.34198761,Lean Republican
21,1115,AL,3,Alabama,1981,2020,1115,1,4-year,4,Female,No,Liberal,Some of the time,0,1,1,Dem,Democrat,Democrat,Strong Democrat,3,0,White,6,4,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,33.7,65.3,Alabama,AL,St. Clair,15.00805585,84.99194415,Solid Republican
22,1117,AL,6,Alabama,1988,2018,1117,1,High school graduate,1,Male,No,Very liberal,Only now and then,0,1,1,Dem,Democrat,Democrat,Not very strong Democrat,2,0,White,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,31.8,67,Alabama,AL,Shelby,23.93512297,76.06487703,Solid Republican
23,1125,AL,7,Alabama,1950,2018,1125,1,Some college,2,Male,No,Very liberal,Only now and then,0,1,1,Dem,Democrat,Democrat,Strong Democrat,2,0,Black,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,70.8,28.5,Alabama,AL,Tuscaloosa,39.95974083,60.04025917,Lean Republican
25,4003,AZ,2,Arizona,1977,2020,4003,1,Some college,2,Male,No,Very liberal,Most of the time,6,1,1,Dem,Democrat,Democrat,Not very strong Democrat,4,0,White,1,1,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,54.5,43.9,Arizona,AZ,Cochise,38.31627948,61.68372052,Lean Republican
26,4003,AZ,2,Arizona,1955,2020,4003,0,Some college,2,Female,No,Liberal,Some of the time,0,0,0,Ind,Democrat,Independent,Lean Democrat,3,0,White,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,54.5,43.9,Arizona,AZ,Cochise,38.31627948,61.68372052,Lean Republican
27,4005,AZ,1,Arizona,1987,2020,4005,1,Post-grad,5,Female,No,Liberal,Most of the time,2,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,4,4,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,50.1,48.4,Arizona,AZ,Coconino,60.55464195,39.44535805,Lean Democrat
28,4013,AZ,9,Arizona,1963,2020,4013,1,2-year,3,Female,No,Moderate,Only now and then,0,1,1,Dem,Democrat,Democrat,Strong Democrat,2,0,Two or more races,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,60.8,37.3,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
29,4013,AZ,3,Arizona,1935,2018,4013,1,4-year,4,Male,No,Very liberal,Most of the time,2,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,3,3,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,62.8,35.7,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
30,4013,AZ,9,Arizona,1962,2018,4013,1,High school graduate,1,Female,No,Liberal,Most of the time,2,1,1,Dem,Democrat,Democrat,Strong Democrat,4,1,White,5,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,60.8,37.3,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
31,4013,AZ,6,Arizona,1988,2020,4013,0,4-year,4,Male,No,Conservative,Some of the time,0,1,1,Rep,Republican,Republican,Strong Republican,3,0,Asian,0,0,1,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,0,1,1,0,0,NA,NA,NA,1,NA,NA,47.3,51.4,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
32,4013,AZ,9,Arizona,1949,2020,4013,1,4-year,4,Female,No,Moderate,Most of the time,7,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,0,0,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,60.8,37.3,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
33,4013,AZ,5,Arizona,1962,2018,4013,0,2-year,3,Female,No,Moderate,Some of the time,2,0,0,Rep,Republican,Republican,Strong Republican,3,0,White,4,4,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,41.9,56.5,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
34,4013,AZ,4,Arizona,1944,2018,4013,0,Some college,2,Male,No,Very conservative,Most of the time,0,0,0,Ind,Republican,Independent,Lean Republican,4,0,Black,6,4,0,NA,NA,NA,NA,NA,NA,NA,NA,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,30.6,68,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
35,4013,AZ,4,Arizona,1970,2020,4013,0,2-year,3,Male,No,Conservative,Most of the time,0,0,0,Ind,Republican,Independent,Lean Republican,4,0,White,6,4,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,30.6,68,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
37,4013,AZ,5,Arizona,1958,2020,4013,0,Post-grad,5,Male,No,Moderate,Most of the time,2,0,0,Ind,Democrat,Independent,Lean Democrat,4,1,White,5,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,41.9,56.5,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
38,4013,AZ,5,Arizona,1962,2018,4013,0,Some college,2,Female,No,Conservative,Most of the time,1,1,1,Rep,Republican,Republican,Strong Republican,4,0,White,3,2,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I don't think it matters,0,0,1,1,0,0,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,41.9,56.5,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
39,4013,AZ,5,Arizona,1965,2020,4013,1,Some college,2,Female,No,Very liberal,Most of the time,7,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,Black,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,41.9,56.5,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
41,4013,AZ,5,Arizona,1959,2018,4013,0,Post-grad,5,Male,No,Conservative,Most of the time,7,1,1,Rep,Republican,Republican,Strong Republican,4,0,White,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,1,NA,NA,41.9,56.5,Arizona,AZ,Maricopa,48.46738672,51.53261328,Lean Republican
